name,rating,tags,similar
acl digital,3.7,"Analytics & KPO, IT Services & Consulting",
acl mobile,3.9,"Internet, Telecom",
acme cleantech solutions,3.9,Industrial Machinery,
acme formulation,3.3,Pharma,
acme generics llp,3.7,Pharma,
acn health care,3.5,Healthcare,
acpl systems,3.9,"Law Enforcement & Security, IT Services & Consulting",
acrysil,3.8,"Building Material, Public",
acs,3.4,"Media & Entertainment / Publishing, Non-Profit",
acs global tech solutions,4,IT Services & Consulting,
acs group,4,"Manufacturing, IT Services & Consulting",
acs technologies,3.9,IT Services & Consulting,
act fibernet,4.1,"Internet, Telecom",
act plast paints,3.7,"Chemicals / Agri Inputs, Manufacturing, Chemicals",
action construction equipment,3.9,"Industrial Machinery, Engineering & Construction, Public",
actis technologies,4.3,"Telecom, IT Services & Consulting",
acuity knowledge partners,3.8,Financial Services,
aculife healthcare,3.8,Pharma,
acute informatics,3.6,"IT Services & Consulting, Software Product",
acuvate software,3.6,"IT Services & Consulting, Software Product",
aczet,4.2,Electronics Manufacturing,
adaequare,4.1,IT Services & Consulting,
adama,4.4,"Agriculture, Chemicals / Agri Inputs, Manufacturing, Agro Chemicals",
adani capital,4.3,NBFC,
adani electricity,3.6,Not Available,
adani enterprises,4.1,"Financial Services, Engineering & Construction, Conglomerate, Fortune India 500, Public",
adani gas,3.9,"Power, Oil & Gas, Fortune India 500, Public",
adani green energy,4.2,"Power, Fortune India 500",
adani group,4,"Power, Conglomerate, Public",
adani ports and sez,3.9,"Logistics / Shipping, Real Estate, Forbes Global 2000, Fortune India 500, Public",
adani power,4.1,"Manufacturing, Power, Fortune India 500, Public",
adani realty,3.9,Real Estate,
adani solar,4,"Power, Public",
adani transmission,3.8,"Real Estate, Fortune India 500, Public",
adani wilmar,4.2,"FMCG, Fortune India 500, Public",
adarsh credit co-operative society,4.1,Investment Banking / Venture Capital / Private Equity,
adarsh developers,4.5,"Real Estate, Engineering & Construction",
adcock ingram,3.2,"Manufacturing, Analytics & KPO, Pharma, Conglomerate",
adda 247,3.6,"Internet, Education & Training, EdTech, Startup",
addverb technologies,3.8,"Internet, Industrial Automation, Startup",
adecco group,3.9,"Internet, Recruitment, Forbes Global 2000",
adfactors pr,3.8,"Advertising / PR / Events, Marketing & Advertising",
adfc,3.9,"BPO/KPO, Financial Services, Banking",
adglobal360,3.9,Marketing & Advertising,
adhaan solutions,4.1,Recruitment,
adhikar microfinance,3.8,Financial Services,
adhunik metaliks,3.7,"Metals & Mining, Public",
adhunik power,3.7,Power,
adient,4,"Automobile, Manufacturing, Auto Components, Forbes Global 2000",
aditi consulting,3.9,"Consulting, IT Services & Consulting, MNC",
aditya auto products & engineering,4,"Automobile, Engineering & Construction, Auto Components",
aditya birla capital,4,"Financial Services, NBFC, Fortune India 500, Public",
aditya birla fashion and retail,4.2,"Retail, Conglomerate, Fortune India 500",
aditya birla finance,4,Financial Services,
aditya birla group,4.2,"Financial Services, Metals & Mining, Telecom, Fashion & Textile, Chemicals, Conglomerate",
aditya birla health insurance co,4,"Financial Services, Insurance",
aditya birla idea payments bank,4.1,"Financial Services, Internet, FinTech",
aditya birla insurance brokers,4.2,"Financial Services, Insurance, Public",
aditya birla minacs,4.5,"BPO/KPO, IT Services & Consulting",
aditya birla money,4,Public,
aditya birla nuvo,4.4,"Fashion & Textile, Public",
aditya birla sunlife asset management company,4.2,"Financial Services, Retail, Telecom",
aditya enterprises,4.4,"Retail, Logistics",
aditya hospital,4.2,Healthcare,
aditya infotech,3.8,IT Services & Consulting,
adlabs imagica,4.1,Not Available,
adma solutions,4.2,BPO,
adnet global,3.2,"Financial Services, Animation & VFX",
adnh compass,4.5,Hospitality,
adnoc,4.6,"Chemicals / Agri Inputs, Oil / Gas / Petro Chemicals, Oil & Gas",
adnoc distribution,3.4,Oil & Gas,
adnoc drilling,4.1,Metals & Mining,
adobe,4.4,"Internet, IT Services & Consulting, Software Product, Forbes Global 2000, Public",
ador welding,4.1,"Industrial Machinery, Engineering & Construction, Public",
adroit synergies,3.8,BPO,
ads spirits,4.2,Not Available,
advaith motors,4.3,Automobile,
advance auto parts,4.2,"Retail, Fashion & Textile, Auto Components, Forbes Global 2000",
advance india projects,3.8,Real Estate,
advanced micro devices,4.1,"Internet, Hardware & Networking, Semiconductors, Software Product, Forbes Global 2000",
advanced technology consulting service,4.1,"Internet, IT Services & Consulting",
advantage one tax consulting,4,"Consulting, Financial Services",
advantum health,4.1,Healthcare,
advics,4.1,Auto Components,
advids.co,3.5,Marketing & Advertising,
advik hi tech,3.6,"Industrial Machinery, Auto Components",
advocate,4.4,IT Services & Consulting,
adyard abudhabi llc,4.4,Oil & Gas,
aecom,4.2,"Industrial Machinery, Manufacturing, Engineering & Construction",
aegis associates,3.3,Healthcare,
aegis essar,3.6,"BPO/KPO, BPO",
aegis logistics,3.6,"Logistics / Shipping, Oil / Gas / Petro Chemicals, Oil & Gas, Public",
aegon life insurance,3.8,"Financial Services, Insurance",
aeon credit service,3.7,Financial Services,
aequs,3.9,"Defence & Aerospace, Manufacturing, Engineering & Construction",
aerial telecom solutions,3.6,Telecom,
aeries technology,4.1,IT Services & Consulting,
aeronautical development agency,4.3,"Airlines / Aviation / Aerospace, Defence & Aerospace",
afcons infrastructure,4.4,Real Estate,
affiliated computer services,3.5,"IT Services & Consulting, Software Product",
affine,3.9,"Consulting, Internet, IT Services & Consulting",
affinity express,3.1,"Beauty & Wellness, Marketing & Advertising",
affinity global advertising,2.9,Marketing & Advertising,
afflatus gravures,3.6,"Manufacturing, Printing / Packaging, Printing & Publishing",
affluent global services,3.4,"Financial Services, IT Services & Consulting",
affordplan,2.7,"Internet, Startup",
aforeserve,3.5,IT Services & Consulting,
afour technologies,3.8,"Hardware & Networking, IT Services & Consulting, Software Product",
african industries,3.7,"Manufacturing, Metals & Mining",
ag industries,4,"Automobile, Manufacturing, Auto Components",
aga khan foundation,3.8,Non-Profit,
aga khan university hospital,4.6,Healthcare,
agappe diagnostics,4,"Chemicals / Agri Inputs, Manufacturing, Healthcare",
agarwal packers & movers,3.6,"Logistics / Shipping, Logistics, Public",
agastya international foundation,4.2,Non-Profit,
ageas federal life insurance,3.7,"Financial Services, Insurance",
ageis,3.5,Emerging Technologies,
aggne global it services,4.6,"Insurance, IT Services & Consulting",
aggreko,4.3,"Industrial Machinery, Power",
agi glaspac,4,"Manufacturing, Packaging",
agile airport services,3.9,"Airlines / Aviation / Aerospace, Aviation",
agilent technologies,4.2,"Biotech & Life sciences, Pharma, Forbes Global 2000",
agilent technologies international,4.4,Not Available,
agiliad technologies,4.2,Industrial Automation,
agility e services,3.9,"IT Services & Consulting, Public",
agilysys technologies india,3.5,"Internet, IT Services & Consulting",
agio pharmaceuticals,2.6,"Pharma, Public",
agon it solutions,4.4,Not Available,
agreeya solutions,3.6,"IT Services & Consulting, Software Product",
agriculture insurance company of india,4.2,"Banking / Insurance / Accounting, Financial Services, Insurance",
agro tech foods,4.3,"FMCG, Manufacturing, Public",
agrostar,4.3,"Agriculture, Internet, Startup",
ags health,4.1,Software Product,
ags transact technologies,3.5,"Financial Services, BPO",
ahana systems & solutions,4,IT Services & Consulting,
ahlada engineers,4,"Furniture & Furnishing, Iron & Steel, Public",
ahlcon parenterals,3.8,"Biotech & Life sciences, Pharma",
ahluwalia contracts india,3.9,"Engineering & Construction, Public",
ahresty india,3.7,Auto Components,
aia engineering,4.2,"Industrial Machinery, Fortune India 500, Public",
aida cruises,4.7,"Airlines / Aviation / Aerospace, Defence & Aerospace, Travel & Tourism",
aig,4,"Analytics & KPO, Insurance, Forbes Global 2000",
aig business solution,4.6,"Financial Services, IT Services & Consulting",
aig hospital,4.3,Healthcare,
aiims bhubaneshwar,26,,All India Institute of Medical Sciences Bhubaneshwar
aiims delhi,1,,All India Institute of Medical Sciences Delhi
aiims jodhpur,16,,All India Institute of Medical Sciences Jodhpur
aiims raipur,49,,All India Institute of Medical Sciences Raipur
aiims rishikesh,48,,All India Institute of Medical Sciences Rishikesh
aimil pharmaceuticals ,3.6,"Industrial Machinery, Engineering & Construction",
air india,3.9,"Airlines / Aviation / Aerospace, Aviation, Government",
air india air transport services,3.5,"Airlines / Aviation / Aerospace, Facility Management Services, Urban Transport",
air india engineering services,4.1,"Industrial Machinery, Government, Public",
